Produkt ID,Jednostka miary,Waga brutto,Waga netto,Jednostka wagi,Objetosc,Długosc,Szerokosc,Wysokosc,Indeks wymiar jednostka,Zawartosc,Zawartosc netto,Zawartosc brutto,Marka wlasna,OKRES_PRZYDATNOSCI_DNI,JEDNOSTKA_MIARY_MAGAZYN,LICZNIK_PRZELICZ_ZAWARTOSCI,MIANOWNIK_PRZELICZ_ZAWARTOSCI,PRZELICZNIK_ZAWARTOSCI,Liczba sztuk na palecie,Liczba sztuk w opakowaniu,Liczba sztuk w kartonie,Liczba sztuk w warstwie (palety),Cena zakupu,VAT
10983891,ST,0.134,0.14,KG,0.247,8.4,8.4,3.5,CM,KG,0.131,0.131,  ,730,OPA,15,1,15,3600,15,15,300,XXX,XXX
10984371,ST,0.07,0.07,KG,36,0.2,9,20,CM,KG,0.07,0.07,  ,9999,OPA,6,1,6,36,6,6,18,XXX,XXX
10984611,ST,0.06,0.06,KG,0,0,0,0,CM,KG,0.06,0.06,  ,1,ST,1,1,1,0,,,,XXX,XXX
10985091,ST,0.13,0.13,KG,233.1,3,7.4,10.5,CM,KG,0.12,0.12,  ,1095,OPA,9,1,9,2250,9,45,450,XXX,XXX
10985331,ST,0.46,0.46,KG,1.924,26,18.5,4,CM,KG,0.45,0.45,  ,365,OPA,2,1,2,1296,2,12,144,XXX,XXX
10985571,ST,0.017,0.017,KG,20.4,0.1,12,17,CM,,0,0,  ,9999,OPA,10,1,10,51200,10,800,6400,XXX,XXX
10985811,ST,0.187,0.187,KG,302.4,2.4,15,8.4,CM,KG,0.17,0.17,  ,720,OPA,3,1,3,3825,3,15,0,XXX,XXX
10986051,ST,1.11,1.11,KG,1470,7.5,8,24.5,CM,L,1,1,  ,365,OPA,6,1,6,576,6,6,144,XXX,XXX
10986291,ST,0.84,0.84,KG,1225,7,7,25,CM,L,0.5,0.5,  ,360,OPA,20,1,20,800,20,20,160,XXX,XXX
10986771,ST,11,11,KG,1,10,10,10,CM,KG,0,0,  ,0,OPA,1,1,1,588,1,1,42,XXX,XXX
10987011,ST,0.4,0.4,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,12,12,0,XXX,XXX
10987251,ST,0.243,0.243,KG,0.577,8.1,8.1,8.8,CM,KG,0,0,  ,0,OPA,50,1,50,72000,50,1000,14400,XXX,XXX
10987491,ST,0.84,0.84,KG,1215.2,7,7,24.8,CM,L,0.5,0.5,  ,270,OPA,20,1,20,800,20,20,160,XXX,XXX
10987731,ST,0.45,0.45,KG,823.875,6.5,6.5,19.5,CM,L,0.4,0.4,  ,274,OPA,12,1,12,1368,12,12,0,XXX,XXX
10987971,ST,0.081,0.081,KG,0.15,0.5,12,25,CM,,0,0,  ,9999,ST,1,1,1,0,,,,XXX,XXX
10988211,ST,0.027,0.027,KG,0.103,2.2,5.5,8.5,CM,,0,0,  ,9999,OPA,10,1,10,17500,10,250,17500,XXX,XXX
10988451,ST,0.76,0.76,KG,1167.14,6.7,6.7,26,CM,L,0.5,0.5,  ,270,OPA,15,1,15,900,15,15,180,XXX,XXX
10988691,ST,0.09,0.09,KG,357,12,8.5,3.5,CM,KG,0.09,0.09,  ,365,OPA,57,1,57,2052,57,57,342,XXX,XXX
10988931,ST,0.891,0.876,KG,1083.75,8.5,8.5,15,CM,KG,0.6,0.6,  ,540,OPA,4,1,4,672,4,4,112,XXX,XXX
10989171,ST,0.1,0.1,KG,512,8,8,8,CM,L,0.1,0.1,  ,0,OPA,12,1,12,0,12,12,0,XXX,XXX
10989411,ST,0.13,0.13,KG,2275,7,13,25,CM,KG,0.12,0.12,  ,168,OPA,10,1,10,480,10,10,80,XXX,XXX
10989651,ST,0.33,0.33,KG,367.5,7,7,7.5,CM,KG,0.17,0.17,  ,180,ST,1,1,1,0,4,4,0,XXX,XXX
10989891,ST,0.12,0.12,KG,497.42,3.8,7.7,17,CM,KG,0.11,0.11,  ,240,ST,1,1,1,0,8,8,0,XXX,XXX
10990131,ST,0.436,0.436,KG,7490.625,12.5,25.5,23.5,CM,KG,0.436,0.436,  ,1000,OPA,1,1,1,189,1,9,27,XXX,XXX
10990371,ST,1.055,1.055,KG,1134,6,9,21,CM,L,1,1,  ,90,ST,1,1,1,0,12,12,0,XXX,XXX
10990611,ST,0.84,0.84,KG,1098.5,6.5,6.5,26,CM,L,0.5,0.5,  ,120,OPA,6,1,6,288,6,6,48,XXX,XXX
